Loaded module: cuda/10.0
usage: numactl [--all | -a] [--interleave= | -i <nodes>] [--preferred= | -p <node>]
               [--physcpubind= | -C <cpus>] [--cpunodebind= | -N <nodes>]
               [--membind= | -m <nodes>] [--localalloc | -l] command args ...
       numactl [--show | -s]
       numactl [--hardware | -H]
       numactl [--length | -l <length>] [--offset | -o <offset>] [--shmmode | -M <shmmode>]
               [--strict | -t]
               [--shmid | -I <id>] --shm | -S <shmkeyfile>
               [--shmid | -I <id>] --file | -f <tmpfsfile>
               [--huge | -u] [--touch | -T] 
               memory policy | --dump | -d | --dump-nodes | -D

memory policy is --interleave | -i, --preferred | -p, --membind | -m, --localalloc | -l
<nodes> is a comma delimited list of node numbers or A-B ranges or all.
Instead of a number a node can also be:
  netdev:DEV the node connected to network device DEV
  file:PATH  the node the block device of path is connected to
  ip:HOST    the node of the network device host routes through
  block:PATH the node of block device path
  pci:[seg:]bus:dev[:func] The node of a PCI device
<cpus> is a comma delimited list of cpu numbers or A-B ranges or all
all ranges can be inverted with !
all numbers and ranges can be made cpuset-relative with +
the old --cpubind argument is deprecated.
use --cpunodebind or --physcpubind instead
<length> can have g (GB), m (MB) or k (KB) suffixes
  5859.375  95159.088 0 # matmult_lib
  5859.375 170773.997 0 # matmult_lib
  5859.375 307281.506 0 # matmult_lib
  5859.375 450940.911 0 # matmult_lib
  5859.375 526114.910 0 # matmult_lib
  5859.375 607038.926 0 # matmult_lib
  5859.375 337712.834 0 # matmult_lib
  5859.375 369495.870 0 # matmult_lib
 23437.500  99067.207 0 # matmult_lib
 23437.500 192197.749 0 # matmult_lib
 23437.500 334003.474 0 # matmult_lib
 23437.500 537249.099 0 # matmult_lib
 23437.500 633007.432 0 # matmult_lib
 23437.500 734216.992 0 # matmult_lib
 23437.500 440746.497 0 # matmult_lib
 23437.500 406881.887 0 # matmult_lib
 52734.375  97733.881 0 # matmult_lib
 52734.375 187701.022 0 # matmult_lib
 52734.375 326944.328 0 # matmult_lib
 52734.375 552210.691 0 # matmult_lib
 52734.375 629388.950 0 # matmult_lib
 52734.375 735265.369 0 # matmult_lib
 52734.375 487594.693 0 # matmult_lib
 52734.375 439545.451 0 # matmult_lib
 93750.000  96830.451 0 # matmult_lib
 93750.000 189295.517 0 # matmult_lib
 93750.000 315151.962 0 # matmult_lib
 93750.000 555986.650 0 # matmult_lib
 93750.000 600134.228 0 # matmult_lib
 93750.000 748863.951 0 # matmult_lib
 93750.000  55621.555 0 # matmult_lib
 93750.000  22761.709 0 # matmult_lib
146484.375 100029.439 0 # matmult_lib
146484.375 195705.510 0 # matmult_lib
146484.375 338991.412 0 # matmult_lib
146484.375 548675.447 0 # matmult_lib
146484.375 645035.107 0 # matmult_lib
146484.375 761611.205 0 # matmult_lib
146484.375  51546.598 0 # matmult_lib
146484.375  34364.302 0 # matmult_lib
210937.500 102483.216 0 # matmult_lib
210937.500 198149.844 0 # matmult_lib
210937.500 336827.594 0 # matmult_lib
210937.500 570457.941 0 # matmult_lib
210937.500 671240.432 0 # matmult_lib
210937.500 786192.514 0 # matmult_lib
210937.500 116838.719 0 # matmult_lib
210937.500  41947.681 0 # matmult_lib
